target_name	acc	target_len	query_name	acc_2	query_len	full_evalue	full_score	full_bias	dom_num	of	dom_c-Evalue	dom_i-Evalue	dom_score	dom_bias	hmm_from	hmm_to	ali_from	ali_to	env_from	env_to	acc3
Phage_integrase	PF00589.22	172	HNAHNGBA_00003	-	341	1.5e-14	54.2	0.8	1	1	2.7000000000000003e-18	2.4e-14	53.5	0.8	11	169	177	331	171	333	0.91
Phage_int_SAM_1	PF02899.17	84	HNAHNGBA_00003	-	341	0.022000000000000002	15.1	0.0	1	1	7.6e-06	0.068	13.5	0.0	17	75	87	144	74	147	0.9
NQRA	PF05896.11	257	HNAHNGBA_00004	-	128	0.031	13.7	0.0	1	1	2.3e-06	0.040999999999999995	13.3	0.0	190	227	85	122	69	124	0.9
Phage_AlpA	PF05930.12	51	HNAHNGBA_00005	-	38	0.0036	17.1	0.1	1	1	2.4e-07	0.0043	16.8	0.1	3	24	14	35	12	37	0.91
ASCH	PF04266.14	107	HNAHNGBA_00006	-	130	3.1e-07	31.0	0.0	1	1	1.9e-11	3.4e-07	30.8	0.0	1	41	4	41	4	85	0.9
DUF3090	PF11290.8	171	HNAHNGBA_00007	-	103	0.016	15.0	0.1	1	1	9.2e-07	0.016	15.0	0.1	76	148	28	100	3	102	0.84
DNA_methylase	PF00145.17	335	HNAHNGBA_00009	-	720	2.6e-24	86.2	0.0	1	3	8.400000000000001e-10	1.4999999999999999e-05	24.5	0.0	3	115	28	145	27	148	0.86
DNA_methylase	PF00145.17	335	HNAHNGBA_00009	-	720	2.6e-24	86.2	0.0	2	3	1.3999999999999999e-14	2.5e-10	40.2	0.0	117	168	187	238	182	279	0.82
DNA_methylase	PF00145.17	335	HNAHNGBA_00009	-	720	2.6e-24	86.2	0.0	3	3	1.1e-07	0.002	17.6	0.0	282	331	649	705	606	707	0.82
Lentiviral_Tat	PF02998.14	86	HNAHNGBA_00010	-	148	0.07200000000000001	13.1	1.5	1	2	3.2e-05	0.29	11.2	0.6	20	56	34	71	8	77	0.77
Lentiviral_Tat	PF02998.14	86	HNAHNGBA_00010	-	148	0.07200000000000001	13.1	1.5	2	2	0.078	700.0	0.4	0.0	17	34	111	128	99	142	0.66
Tho1_MOS11_C	PF18592.1	56	HNAHNGBA_00010	-	148	0.091	12.6	0.6	1	2	0.0094	85.0	3.1	0.4	21	40	6	25	4	27	0.86
Tho1_MOS11_C	PF18592.1	56	HNAHNGBA_00010	-	148	0.091	12.6	0.6	2	2	0.00045	4.0	7.3	0.0	37	55	68	86	53	87	0.87
COG5	PF10392.9	132	HNAHNGBA_00015	-	107	0.066	13.4	0.4	1	1	5.7000000000000005e-06	0.1	12.8	0.4	24	78	3	56	1	86	0.8
YqaJ	PF09588.10	148	HNAHNGBA_00018	-	255	2.7e-09	37.3	0.0	1	1	6.3e-13	1.1000000000000001e-08	35.3	0.0	1	147	12	198	12	199	0.81
ERF	PF04404.12	153	HNAHNGBA_00019	-	252	3.7999999999999995e-24	85.3	0.0	1	1	3.3e-28	5.999999999999999e-24	84.6	0.0	2	135	62	191	61	200	0.92
DUF1707	PF08044.11	53	HNAHNGBA_00023	-	64	0.073	13.1	0.0	1	2	0.24	2100.0	-1.2	0.0	40	52	19	31	9	31	0.66
DUF1707	PF08044.11	53	HNAHNGBA_00023	-	64	0.073	13.1	0.0	2	2	1.7e-05	0.15	12.1	0.0	14	42	31	59	27	61	0.86
L27_N	PF09060.10	48	HNAHNGBA_00023	-	64	0.11	12.6	0.8	1	1	1.6e-05	0.15	12.2	0.8	13	33	12	32	7	38	0.8
HNH_3	PF13392.6	46	HNAHNGBA_00025	-	164	1.3000000000000002e-18	66.5	4.3	1	1	1.3e-22	2.3e-18	65.7	4.3	1	45	49	93	49	94	0.97
Sigma70_ner	PF04546.13	204	HNAHNGBA_00026	-	259	0.037000000000000005	13.9	0.1	1	1	4.1e-06	0.07400000000000001	12.9	0.1	13	41	110	138	101	157	0.67
DUF445	PF04286.12	367	HNAHNGBA_00027	-	188	0.0012	18.7	2.6	1	1	5.3e-07	0.0016	18.3	2.6	78	223	11	174	3	185	0.86
DUF2655	PF10848.8	82	HNAHNGBA_00027	-	188	0.0088	16.4	0.0	1	1	4.7e-06	0.013999999999999999	15.7	0.0	13	65	95	147	89	156	0.91
Unstab_antitox	PF09720.10	54	HNAHNGBA_00027	-	188	0.015	15.3	0.2	1	2	0.0024	7.3	6.7	0.1	17	44	28	54	19	59	0.8
Unstab_antitox	PF09720.10	54	HNAHNGBA_00027	-	188	0.015	15.3	0.2	2	2	0.0035	10.0	6.3	0.0	31	51	93	113	83	114	0.91
Spo0A_C	PF08769.11	104	HNAHNGBA_00027	-	188	0.025	14.7	0.1	1	3	0.0016	4.6	7.4	0.0	26	73	29	77	16	88	0.84
Spo0A_C	PF08769.11	104	HNAHNGBA_00027	-	188	0.025	14.7	0.1	2	3	0.76	2300.0	-1.3	0.0	70	95	94	119	89	124	0.75
Spo0A_C	PF08769.11	104	HNAHNGBA_00027	-	188	0.025	14.7	0.1	3	3	0.013999999999999999	43.0	4.3	0.0	37	90	130	183	122	186	0.87
